case_id,workflow_id,root_workflow_id,activity,previous_activity,execution_index,timestamp,execution_time_sec,token_usage,data_volume_bytes,pii_detected,execution_status,error_type,system_overhead_sec
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,On form submission,,0,2026-06-10 21:38:10.302,0.002,0,74,False,success,None,0.001
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Research Request,On form submission,0,2026-06-10 21:38:26.381,0.002,0,375,True,success,None,16.077
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Set Variables,Research Request,0,2026-06-10 21:38:26.387,0.003,0,99,True,success,None,0.003
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,OpenAI Chat Model2,Clarifying Questions,0,2026-06-10 21:38:29.450,3.025,702,2808,False,success,None,0.001
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Structured Output Parser1,Clarifying Questions,0,2026-06-10 21:38:29.454,0.001,0,2,False,success,None,0.003
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Clarifying Questions,Set Variables,0,2026-06-10 21:38:29.455,3.065,0,558,False,success,None,0.003
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Feedback to Items,Clarifying Questions,0,2026-06-10 21:38:29.457,0.001,0,228,False,success,None,0.002
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,For Each Question...,Feedback to Items,0,2026-06-10 21:38:29.465,0.004,0,2,False,success,None,0.004
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Ask Clarity Questions,For Each Question...,0,2026-06-10 21:38:54.007,0.002,0,370,False,success,None,24.54
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,For Each Question...,Ask Clarity Questions,1,2026-06-10 21:38:54.009,0.001,0,2,False,success,None,0.001
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Ask Clarity Questions,For Each Question...,1,2026-06-10 21:39:11.071,0.007,0,272,False,success,None,17.055
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,For Each Question...,Ask Clarity Questions,2,2026-06-10 21:39:11.073,0.001,0,2,False,success,None,0.001
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Ask Clarity Questions,For Each Question...,2,2026-06-10 21:39:31.828,0.001,0,257,False,success,None,20.754
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,For Each Question...,Ask Clarity Questions,3,2026-06-10 21:39:31.830,0.001,0,370,False,success,None,0.001
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Get Initial Query,For Each Question...,0,2026-06-10 21:39:31.836,0.005,0,819,True,success,None,0.001
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,OpenAI Chat Model4,Report Page Generator,0,2026-06-10 21:39:33.586,1.727,581,2324,True,success,None,0.001
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Structured Output Parser4,Report Page Generator,0,2026-06-10 21:39:33.589,0.001,0,2,False,success,None,0.002
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Report Page Generator,Get Initial Query,0,2026-06-10 21:39:33.591,1.753,0,326,True,success,None,0.002
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Create Row,Report Page Generator,0,2026-06-10 21:39:34.663,1.071,0,739,True,success,None,0.003
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Initiate DeepResearch,Create Row,0,2026-06-10 21:39:34.708,0.044,0,1667,True,success,None,0.001
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,DeepResearch Subworkflow,,0,2026-06-10 21:39:34.725,0.001,0,928,True,success,None,0.001
897,cwhfTav_bPOTurNRAh7Wz,cwhfTav_bPOTurNRAh7Wz,Execution Data,DeepResearch Subworkflow,0,2026-06-10 21:39:34.727,0.002,0,928,True,success,None,0.001
